id_pago,id_siniestro,tipo_pago,fecha_pago,monto,moneda,tipo_cambio,monto_mxn,banco_emisor,num_cheque,cuenta_destino,status_pago,autorizador,timestamp_pago
PAG-0000021,SIN-0013621,Pago hospital,2022-09-22,5134.81,MXN,1.0,5134.81,Scotiabank,,252371851908727678,Aplicado,AUTH14,2026-04-30 16:27:46
PAG-0000022,SIN-0014561,Reembolso,2021-10-20,15808.73,MXN,1.0,15808.73,Santander,,442694408897366830,Devuelto,AUTH01,2026-04-30 16:27:46
PAG-0000023,SIN-0005303,Pago directo asegurado,2020-06-30,5573.87,MXN,19.0591,5573.87,HSBC,,685121442822457607,Aplicado,AUTH20,2026-04-30 16:27:46
PAG-0000024,SIN-0002383,Pago directo asegurado,2023-04-10,10004.36,USD,1.0,10004.36,Banorte,,708072564869279546,Aplicado,AUTH18,2026-04-30 16:27:46
PAG-0000025,SIN-0012592,Pago directo asegurado,2020-05-05,11000.84,MXN,1.0,11000.84,BBVA,CHK-807327,265604728930702000,Aplicado,AUTH16,2026-04-30 16:27:46
PAG-0000026,SIN-0006950,Pago hospital,2020-06-11,51425.58,MXN,1.0,51425.58,Banamex,CHK-895218,925245182737583616,Aplicado,AUTH01,2026-04-30 16:27:46
PAG-0000027,SIN-0017064,Reembolso,2024-02-03,25332.48,MXN,1.0,25332.48,HSBC,,568445517675286656,Aplicado,AUTH01,2026-04-30 16:27:46
PAG-0000028,SIN-0011887,Pago hospital,2021-04-01,2427.51,MXN,1.0,2427.51,BBVA,CHK-710917,447292446878831521,Aplicado,AUTH06,2026-04-30 16:27:46
PAG-0000029,SIN-0016247,Pago taller,2023-10-01,26994.31,USD,1.0,26994.31,HSBC,CHK-572207,011223655109164591,Aplicado,AUTH10,2026-04-30 16:27:46
PAG-0000030,SIN-0006821,Reembolso,2022-03-10,21035.24,MXN,1.0,21035.24,Banamex,,250875799390151599,Aplicado,AUTH12,2026-04-30 16:27:46
PAG-0000031,SIN-0001448,Pago hospital,2022-01-03,13917.75,MXN,1.0,13917.75,HSBC,CHK-704650,934742218533533666,Aplicado,AUTH10,2026-04-30 16:27:46
PAG-0000032,SIN-0008806,Reembolso,2021-08-26,3745.56,MXN,1.0,3745.56,HSBC,CHK-208937,665772186381473651,Aplicado,AUTH18,2026-04-30 16:27:46
PAG-0000033,SIN-0000170,Pago hospital,2021-04-25,12057.77,MXN,1.0,12057.77,Scotiabank,CHK-708314,824048654799418075,Aplicado,AUTH14,2026-04-30 16:27:46
PAG-0000034,SIN-0017030,Pago hospital,2022-03-14,4847.66,MXN,1.0,4847.66,Banorte,CHK-312784,987993452718851813,Aplicado,AUTH19,2026-04-30 16:27:46
PAG-0000035,SIN-0010945,Reembolso,2023-10-14,14082.18,MXN,1.0,14082.18,Banamex,CHK-200705,701425725058344812,Aplicado,AUTH20,2026-04-30 16:27:46
PAG-0000036,SIN-0014207,Pago directo asegurado,2024-05-14,15227.08,MXN,1.0,15227.08,Santander,,273211133637011958,Aplicado,AUTH11,2026-04-30 16:27:46
PAG-0000037,SIN-0016605,Pago directo asegurado,2024-09-16,7449.58,MXN,1.0,7449.58,Scotiabank,,095628535871517245,Aplicado,AUTH04,2026-04-30 16:27:46
PAG-0000038,SIN-0006170,Pago directo asegurado,2021-07-20,11058.32,MXN,1.0,11058.32,HSBC,,854314025310488217,Aplicado,AUTH11,2026-04-30 16:27:46
PAG-0000039,SIN-0006855,Pago directo asegurado,2021-07-09,20507.25,MXN,1.0,20507.25,HSBC,CHK-268207,697959402056399713,Aplicado,AUTH15,2026-04-30 16:27:46
PAG-0000040,SIN-0004457,Pago directo asegurado,2020-04-09,5031.92,MXN,1.0,5031.92,BBVA,,159905885798676958,Aplicado,AUTH03,2026-04-30 16:27:46
PAG-0000041,SIN-0002925,Pago directo asegurado,2020-04-21,18255.55,MXN,1.0,18255.55,Banamex,CHK-164908,470854299839502055,Aplicado,AUTH09,2026-04-30 16:27:46
PAG-0000042,SIN-0014489,Pago hospital,2022-05-07,8262.58,MXN,1.0,8262.58,Santander,CHK-290848,449229107434143874,Aplicado,AUTH19,2026-04-30 16:27:46
PAG-0000043,SIN-0001622,Reembolso,2022-09-12,25570.65,MXN,1.0,25570.65,Banamex,,150001281218487706,Aplicado,AUTH17,2026-04-30 16:27:46
PAG-0000044,SIN-0006459,Pago directo asegurado,2022-03-30,16802.35,MXN,1.0,16802.35,Banamex,CHK-815251,600074907722086741,Aplicado,AUTH10,2026-04-30 16:27:46
PAG-0000045,SIN-0009583,Reembolso,2023-12-26,1949.83,MXN,1.0,1949.83,BBVA,CHK-725297,554719877232446064,Aplicado,AUTH12,2026-04-30 16:27:46
PAG-0000046,SIN-0009443,Pago hospital,2023-03-11,9486.91,MXN,1.0,9486.91,Scotiabank,CHK-739965,305377679300498830,Aplicado,AUTH05,2026-04-30 16:27:46
PAG-0000047,SIN-0002073,Pago hospital,2023-07-02,3319.47,MXN,1.0,3319.47,BBVA,,302393444653160557,Aplicado,AUTH11,2026-04-30 16:27:46
PAG-0000048,SIN-0005193,Pago taller,2020-12-09,7724.28,MXN,1.0,7724.28,HSBC,CHK-212386,866704400473856973,Aplicado,AUTH11,2026-04-30 16:27:46
PAG-0000049,SIN-0007597,Pago directo asegurado,2024-10-27,4352.7,MXN,1.0,4352.7,Santander,CHK-751590,943339877964956112,Aplicado,AUTH03,2026-04-30 16:27:46
PAG-0000050,SIN-0006973,Pago taller,2024-02-19,1736.46,MXN,1.0,1736.46,Banorte,,225668332997568592,Aplicado,AUTH18,2026-04-30 16:27:46
PAG-0000051,SIN-0015819,Reembolso,2020-01-02,8609.95,MXN,1.0,8609.95,BBVA,,875782665635841134,Aplicado,AUTH03,2026-04-30 16:27:46
PAG-0000052,SIN-0010947,Pago beneficiario,2023-03-12,3219.27,MXN,1.0,3219.27,BBVA,,081079397435177732,Aplicado,AUTH17,2026-04-30 16:27:46
PAG-0000053,SIN-0004422,Reembolso,2021-02-14,10408.97,MXN,1.0,10408.97,HSBC,CHK-676700,859846122322863544,Aplicado,AUTH05,2026-04-30 16:27:46
PAG-0000054,SIN-0017083,Pago hospital,2023-03-01,9559.17,MXN,1.0,9559.17,Banamex,CHK-544875,807325576657928217,Aplicado,AUTH01,2026-04-30 16:27:46
PAG-0000055,SIN-0016713,Pago taller,2024-03-29,11785.62,MXN,1.0,11785.62,BBVA,,801223132392426385,Aplicado,AUTH12,2026-04-30 16:27:46
PAG-0000056,SIN-0000282,Pago hospital,2021-11-09,16767.24,MXN,1.0,16767.24,BBVA,,702498981307265841,Aplicado,AUTH02,2026-04-30 16:27:46
PAG-0000057,SIN-0002662,Pago hospital,2021-07-04,11359.25,MXN,1.0,11359.25,BBVA,CHK-458734,321147234663633947,Aplicado,AUTH02,2026-04-30 16:27:46
PAG-0000058,SIN-0014493,Pago taller,2023-02-18,7742.22,MXN,1.0,7742.22,Scotiabank,,952869145656535178,Aplicado,AUTH16,2026-04-30 16:27:46
PAG-0000059,SIN-0001842,Pago hospital,2022-07-05,20420.01,MXN,1.0,20420.01,HSBC,,634204007174710042,Aplicado,AUTH10,2026-04-30 16:27:46
PAG-0000060,SIN-0002623,Pago directo asegurado,2021-04-04,5079.13,MXN,1.0,5079.13,Scotiabank,,075408573610274886,Aplicado,AUTH16,2026-04-30 16:27:46
PAG-0000061,SIN-0012953,Pago hospital,2020-02-09,30105.32,MXN,1.0,30105.32,Banorte,CHK-305577,761795966277585506,Pendiente,AUTH03,2026-04-30 16:27:46
PAG-0000062,SIN-0010821,Pago hospital,2022-09-19,18064.56,MXN,1.0,18064.56,Scotiabank,CHK-768223,416235103275588150,Aplicado,AUTH09,2026-04-30 16:27:46
PAG-0000063,SIN-0008992,Pago directo asegurado,2024-09-27,14130.6,MXN,1.0,14130.6,Banamex,CHK-501120,368300427461862845,Aplicado,AUTH17,2026-04-30 16:27:46
PAG-0000064,SIN-0002642,Pago directo asegurado,2022-06-12,9372.66,MXN,1.0,9372.66,Scotiabank,CHK-231742,434778238127845841,Aplicado,AUTH17,2026-04-30 16:27:46
PAG-0000065,SIN-0005172,Reembolso,2020-03-04,6638.05,MXN,1.0,6638.05,HSBC,CHK-872378,624860914405801035,Aplicado,AUTH01,2026-04-30 16:27:46
PAG-0000066,SIN-0009760,Pago hospital,2023-12-03,21804.42,MXN,19.3549,21804.42,Scotiabank,,120452645037294509,Aplicado,AUTH15,2026-04-30 16:27:46
PAG-0000067,SIN-0006349,Pago hospital,2021-10-12,20274.83,MXN,1.0,20274.83,HSBC,CHK-824398,222889964232071648,Aplicado,AUTH12,2026-04-30 16:27:46
PAG-0000068,SIN-0000106,Pago hospital,2024-08-06,24879.22,MXN,1.0,24879.22,HSBC,,582686741958610094,Aplicado,AUTH18,2026-04-30 16:27:46
PAG-0000069,SIN-0009206,Pago beneficiario,2023-09-08,17655.02,MXN,1.0,17655.02,BBVA,CHK-638683,997560304167325404,Pendiente,AUTH20,2026-04-30 16:27:46
PAG-0000070,SIN-0000636,Reembolso,2020-02-10,6943.71,MXN,1.0,6943.71,Scotiabank,CHK-670631,965910463173755741,Aplicado,AUTH07,2026-04-30 16:27:46
PAG-0000071,SIN-0008706,Pago beneficiario,2023-08-11,8441.38,MXN,1.0,8441.38,HSBC,CHK-354257,082364536969894495,Aplicado,AUTH07,2026-04-30 16:27:46
PAG-0000072,SIN-0003283,Pago directo asegurado,2020-10-19,11295.57,MXN,1.0,11295.57,HSBC,,436810177055595319,Aplicado,AUTH03,2026-04-30 16:27:46
PAG-0000073,SIN-0013322,Pago directo asegurado,2022-01-31,3227.85,MXN,1.0,3227.85,Banorte,CHK-175799,126354427086171939,Aplicado,AUTH15,2026-04-30 16:27:46
PAG-0000074,SIN-0015869,Pago hospital,2024-01-04,22432.97,MXN,19.3942,22432.97,Banamex,CHK-692595,925003246749863559,Pendiente,AUTH12,2026-04-30 16:27:46
PAG-0000075,SIN-0016981,Reembolso,2021-09-23,14126.57,MXN,1.0,14126.57,BBVA,,840632056997053064,Pendiente,AUTH07,2026-04-30 16:27:46
PAG-0000076,SIN-0014921,Pago hospital,2023-05-29,15311.55,MXN,1.0,15311.55,BBVA,CHK-922781,160276480504351296,Aplicado,AUTH08,2026-04-30 16:27:46
PAG-0000077,SIN-0002095,Reembolso,2024-11-02,10836.57,MXN,19.8445,10836.57,HSBC,CHK-275466,959911443180343496,Aplicado,AUTH08,2026-04-30 16:27:46
PAG-0000078,SIN-0015620,Pago taller,2020-04-21,10674.66,MXN,1.0,10674.66,HSBC,,239707349830463530,Devuelto,AUTH09,2026-04-30 16:27:46
PAG-0000079,SIN-0011982,Pago taller,2020-03-30,9218.67,MXN,1.0,9218.67,HSBC,,199738166485716045,Aplicado,AUTH07,2026-04-30 16:27:46
PAG-0000080,SIN-0004744,Pago hospital,2023-08-09,7238.29,MXN,1.0,7238.29,Banamex,,203029358534385408,Aplicado,AUTH18,2026-04-30 16:27:46
PAG-0000081,SIN-0001340,Reembolso,2022-10-18,22864.46,MXN,1.0,22864.46,Banorte,,652946945544748030,Aplicado,AUTH07,2026-04-30 16:27:46
PAG-0000082,SIN-0007603,Pago directo asegurado,2020-03-08,25819.35,MXN,1.0,25819.35,Banorte,CHK-775835,226973780814290433,Aplicado,AUTH06,2026-04-30 16:27:46
PAG-0000083,SIN-0003046,Reembolso,2022-07-02,10425.09,MXN,1.0,10425.09,Scotiabank,,866083075648973294,Aplicado,AUTH04,2026-04-30 16:27:46
PAG-0000084,SIN-0003787,Pago directo asegurado,2020-03-23,21350.72,MXN,1.0,21350.72,Scotiabank,,081668077446453823,Aplicado,AUTH02,2026-04-30 16:27:46
PAG-0000085,SIN-0011960,Pago directo asegurado,2020-08-12,9894.84,MXN,1.0,9894.84,Banamex,CHK-711326,597555434905481535,Aplicado,AUTH14,2026-04-30 16:27:46
PAG-0000086,SIN-0003190,Pago hospital,2021-09-18,9326.73,MXN,1.0,9326.73,Banorte,,145458157617278100,Aplicado,AUTH10,2026-04-30 16:27:46
PAG-0000087,SIN-0016909,Pago hospital,2024-01-04,42853.33,MXN,1.0,42853.33,HSBC,,798631703354382765,Aplicado,AUTH06,2026-04-30 16:27:46
PAG-0000088,SIN-0016505,Pago directo asegurado,2021-01-20,28880.92,MXN,1.0,28880.92,Santander,,750399630526346438,Aplicado,AUTH06,2026-04-30 16:27:46
PAG-0000089,SIN-0014229,Pago hospital,2024-02-08,13599.49,MXN,1.0,13599.49,Banorte,CHK-749364,622985049939143258,Aplicado,AUTH04,2026-04-30 16:27:46
PAG-0000090,SIN-0003637,Pago hospital,2022-08-22,12896.18,MXN,1.0,12896.18,Scotiabank,CHK-337363,188178839712692908,Aplicado,AUTH01,2026-04-30 16:27:46
PAG-0000091,SIN-0006306,Reembolso,2022-05-18,10504.65,MXN,1.0,10504.65,HSBC,CHK-318009,484237460457183522,Aplicado,AUTH09,2026-04-30 16:27:46
PAG-0000092,SIN-0005901,Pago directo asegurado,2024-02-03,21341.44,MXN,1.0,21341.44,HSBC,,456389684433808973,Pendiente,AUTH16,2026-04-30 16:27:46
PAG-0000093,SIN-0003669,Reembolso,2023-03-04,41337.88,MXN,1.0,41337.88,Banamex,CHK-752962,592974702617930272,Aplicado,AUTH19,2026-04-30 16:27:46
PAG-0000094,SIN-0013754,Pago directo asegurado,2023-04-02,4975.55,USD,1.0,4975.55,HSBC,CHK-359525,210604351233736549,Aplicado,AUTH11,2026-04-30 16:27:46
PAG-0000095,SIN-0006550,Pago directo asegurado,2023-10-29,4493.7,MXN,16.5313,4493.7,Banamex,,943169808434232970,Aplicado,AUTH10,2026-04-30 16:27:46
PAG-0000096,SIN-0013460,Pago directo asegurado,2023-01-14,32598.68,MXN,1.0,32598.68,Banorte,CHK-697622,223027945525965902,Aplicado,AUTH04,2026-04-30 16:27:46
PAG-0000097,SIN-0016720,Pago hospital,2021-09-24,14333.17,USD,19.9047,14333.17,Santander,,367795331458390098,Aplicado,AUTH15,2026-04-30 16:27:46
PAG-0000098,SIN-0009492,Pago hospital,2023-01-14,1713.4,MXN,1.0,1713.4,Scotiabank,CHK-427060,095577996155962719,Aplicado,AUTH14,2026-04-30 16:27:46
PAG-0000099,SIN-0017850,Pago hospital,2020-12-23,6065.2,MXN,1.0,6065.2,HSBC,CHK-359179,803499440985886189,Aplicado,AUTH04,2026-04-30 16:27:46
PAG-0000100,SIN-0015703,Pago taller,2021-05-06,49242.7,MXN,1.0,49242.7,BBVA,,885974702215973219,Aplicado,AUTH19,2026-04-30 16:27:46
PAG-0000101,SIN-0010090,Pago hospital,2020-06-05,23069.02,MXN,1.0,23069.02,Santander,,432992148561449189,Aplicado,AUTH07,2026-04-30 16:27:46
PAG-0000102,SIN-0006169,Pago directo asegurado,2020-04-04,32397.49,MXN,1.0,32397.49,Banorte,CHK-248003,432549474366594905,Aplicado,AUTH09,2026-04-30 16:27:46
PAG-0000103,SIN-0002046,Pago hospital,2022-06-02,102938.77,MXN,1.0,102938.77,HSBC,CHK-326341,473938736544503398,Aplicado,AUTH17,2026-04-30 16:27:46
PAG-0000104,SIN-0000094,Pago hospital,2024-08-07,4203.01,MXN,1.0,4203.01,Banamex,CHK-634898,575059199346770545,Aplicado,AUTH15,2026-04-30 16:27:46
PAG-0000105,SIN-0010442,Pago directo asegurado,2021-09-30,11229.95,MXN,1.0,11229.95,Banamex,CHK-877694,331176014595526967,Aplicado,AUTH01,2026-04-30 16:27:46
PAG-0000106,SIN-0008332,Pago hospital,2020-08-16,7011.92,MXN,1.0,7011.92,Scotiabank,CHK-703669,075727966040441103,Aplicado,AUTH18,2026-04-30 16:27:46
PAG-0000107,SIN-0004452,Pago hospital,2020-03-22,25088.38,MXN,1.0,25088.38,Banamex,,464246722829620666,Aplicado,AUTH08,2026-04-30 16:27:46
PAG-0000108,SIN-0017233,Reembolso,2023-02-14,14742.88,MXN,1.0,14742.88,Scotiabank,CHK-961070,791535269252533060,Pendiente,AUTH10,2026-04-30 16:27:46
PAG-0000109,SIN-0006480,Pago taller,2023-11-27,9379.56,MXN,1.0,9379.56,HSBC,,571736506302573589,Aplicado,AUTH19,2026-04-30 16:27:46
PAG-0000110,SIN-0002302,Pago hospital,2024-08-31,14178.45,MXN,1.0,14178.45,HSBC,CHK-939297,891871024303561557,Aplicado,AUTH04,2026-04-30 16:27:46
PAG-0000111,SIN-0005771,Pago directo asegurado,2021-05-24,9460.7,MXN,1.0,9460.7,Scotiabank,,751172346977024925,Aplicado,AUTH01,2026-04-30 16:27:46
PAG-0000112,SIN-0017631,Reembolso,2020-02-19,20458.23,MXN,1.0,20458.23,Scotiabank,CHK-698170,401183962069878282,Pendiente,AUTH06,2026-04-30 16:27:46
PAG-0000113,SIN-0000967,Pago beneficiario,2024-09-10,4336.25,MXN,1.0,4336.25,Banorte,,050089660117564492,Aplicado,AUTH03,2026-04-30 16:27:46
PAG-0000114,SIN-0016654,Pago hospital,2024-02-15,24142.55,MXN,1.0,24142.55,Banamex,,543730337396436783,Aplicado,AUTH02,2026-04-30 16:27:46
PAG-0000115,SIN-0002782,Pago beneficiario,2024-02-23,12300.06,MXN,1.0,12300.06,BBVA,CHK-806634,753192845002343653,Aplicado,AUTH15,2026-04-30 16:27:46
PAG-0000116,SIN-0000364,Reembolso,2022-04-09,7317.09,MXN,1.0,7317.09,Banorte,CHK-833541,116726183828654690,Aplicado,AUTH14,2026-04-30 16:27:46
PAG-0000117,SIN-0011190,Pago hospital,2022-09-25,8302.28,MXN,1.0,8302.28,Santander,CHK-147458,682668071879204515,Pendiente,AUTH02,2026-04-30 16:27:46
PAG-0000118,SIN-0002139,Reembolso,2023-12-25,13097.05,USD,1.0,13097.05,Banamex,,330580450036863925,Aplicado,AUTH03,2026-04-30 16:27:46
PAG-0000119,SIN-0002996,Pago directo asegurado,2024-05-20,14847.0,MXN,1.0,14847.0,Banamex,CHK-551050,217527215442882529,Aplicado,AUTH16,2026-04-30 16:27:46
PAG-0000120,SIN-0004812,Pago hospital,2024-03-25,16230.85,MXN,1.0,16230.85,HSBC,,593757539530930609,Aplicado,AUTH20,2026-04-30 16:27:46
PAG-0000121,SIN-0014227,Pago taller,2022-12-02,11989.61,MXN,1.0,11989.61,BBVA,,514235328871932379,Aplicado,AUTH14,2026-04-30 16:27:46
PAG-0000122,SIN-0004684,Pago taller,2024-06-12,46362.45,MXN,1.0,46362.45,HSBC,CHK-206014,756297124021184186,Aplicado,AUTH06,2026-04-30 16:27:46
PAG-0000123,SIN-0007699,Pago directo asegurado,2024-09-14,29409.76,USD,1.0,29409.76,Banamex,CHK-524503,642842017804841731,Aplicado,AUTH02,2026-04-30 16:27:46
PAG-0000124,SIN-0008487,Pago taller,2022-02-01,19564.76,MXN,1.0,19564.76,Scotiabank,CHK-325831,744674038937658798,Aplicado,AUTH16,2026-04-30 16:27:46
PAG-0000125,SIN-0014258,Pago hospital,2024-03-16,7305.67,MXN,1.0,7305.67,BBVA,,438005475453550992,Aplicado,AUTH10,2026-04-30 16:27:46
PAG-0000126,SIN-0015855,Pago hospital,2024-10-23,3543.22,MXN,1.0,3543.22,Scotiabank,,052784478670285991,Aplicado,AUTH11,2026-04-30 16:27:46
PAG-0000127,SIN-0013354,Reembolso,2022-08-03,15627.48,MXN,1.0,15627.48,Santander,,790530458717895820,Aplicado,AUTH02,2026-04-30 16:27:46
PAG-0000128,SIN-0016092,Reembolso,2022-06-04,17150.35,MXN,1.0,17150.35,Banorte,CHK-465567,537660118080966607,Pendiente,AUTH17,2026-04-30 16:27:46
PAG-0000129,SIN-0011770,Pago hospital,2023-09-23,17895.71,MXN,1.0,17895.71,Banorte,CHK-368926,887557421580284314,Aplicado,AUTH07,2026-04-30 16:27:46
PAG-0000130,SIN-0017520,Reembolso,2022-08-20,6617.72,USD,1.0,6617.72,Scotiabank,CHK-751363,567395508049156313,Aplicado,AUTH13,2026-04-30 16:27:46
PAG-0000131,SIN-0016564,Pago hospital,2024-08-13,8544.07,MXN,1.0,8544.07,Banorte,CHK-569417,610202827811565158,Aplicado,AUTH01,2026-04-30 16:27:46
PAG-0000132,SIN-0001770,Pago taller,2024-04-19,12062.07,MXN,1.0,12062.07,HSBC,,580935068643879408,Aplicado,AUTH11,2026-04-30 16:27:46
PAG-0000133,SIN-0002992,Pago hospital,2021-09-07,38679.59,MXN,17.8891,38679.59,Scotiabank,CHK-335707,289090407321215643,Aplicado,AUTH12,2026-04-30 16:27:46
PAG-0000134,SIN-0005486,Pago hospital,2024-03-08,13928.75,MXN,1.0,13928.75,HSBC,,174511027754839593,Pendiente,AUTH04,2026-04-30 16:27:46
PAG-0000135,SIN-0001979,Reembolso,2020-03-19,12225.69,MXN,1.0,12225.69,HSBC,,830078103095371687,Aplicado,AUTH18,2026-04-30 16:27:46
PAG-0000136,SIN-0004974,Reembolso,2021-04-06,5088.91,MXN,1.0,5088.91,HSBC,,518541392736526070,Aplicado,AUTH08,2026-04-30 16:27:46
PAG-0000137,SIN-0016103,Reembolso,2023-01-23,7554.47,MXN,1.0,7554.47,Santander,CHK-822317,702632040004633999,Aplicado,AUTH11,2026-04-30 16:27:46
PAG-0000138,SIN-0017187,Pago taller,2022-08-10,18703.95,MXN,1.0,18703.95,Banorte,CHK-956309,549022730573992812,Aplicado,AUTH18,2026-04-30 16:27:46
PAG-0000139,SIN-0006602,Pago taller,2023-10-10,23742.46,MXN,1.0,23742.46,Banorte,CHK-891481,746347766698451474,Aplicado,AUTH19,2026-04-30 16:27:46
PAG-0000140,SIN-0003709,Pago directo asegurado,2023-10-08,7675.89,MXN,1.0,7675.89,Scotiabank,CHK-192823,665257236373934190,Aplicado,AUTH20,2026-04-30 16:27:46
PAG-0000141,SIN-0010361,Pago hospital,2022-09-28,10355.5,MXN,1.0,10355.5,Banorte,,684174664376369336,Pendiente,AUTH05,2026-04-30 16:27:46
PAG-0000142,SIN-0012100,Pago directo asegurado,2020-09-18,40934.75,MXN,1.0,40934.75,BBVA,CHK-596327,099004914553371795,Aplicado,AUTH01,2026-04-30 16:27:46
PAG-0000143,SIN-0015667,Pago hospital,2022-07-10,5561.63,MXN,1.0,5561.63,BBVA,,350728106476496997,Aplicado,AUTH02,2026-04-30 16:27:46
PAG-0000144,SIN-0005568,Pago taller,2023-10-05,2292.02,MXN,17.2298,2292.02,Banamex,,467352918479896837,Aplicado,AUTH14,2026-04-30 16:27:46
PAG-0000145,SIN-0011739,Pago directo asegurado,2023-06-28,13970.77,MXN,18.8147,13970.77,Banamex,,205881262178497441,Aplicado,AUTH09,2026-04-30 16:27:46
PAG-0000146,SIN-0008654,Reembolso,2022-04-09,35091.15,MXN,1.0,35091.15,BBVA,,300178841096288912,Aplicado,AUTH09,2026-04-30 16:27:46
PAG-0000147,SIN-0000490,Pago taller,2023-10-19,45136.56,MXN,1.0,45136.56,Santander,CHK-780645,185600459465365191,Aplicado,AUTH05,2026-04-30 16:27:46
PAG-0000148,SIN-0007897,Pago hospital,2020-12-17,33524.55,MXN,1.0,33524.55,Santander,CHK-301808,094521368202914743,Aplicado,AUTH02,2026-04-30 16:27:46
PAG-0000149,SIN-0003115,Pago hospital,2021-06-02,7764.28,USD,1.0,7764.28,Santander,CHK-487959,621908681227966387,Aplicado,AUTH19,2026-04-30 16:27:46
PAG-0000150,SIN-0008467,Pago hospital,2024-08-11,7815.77,USD,1.0,7815.77,Banorte,CHK-806987,285559539460984975,Aplicado,AUTH01,2026-04-30 16:27:46
PAG-0000151,SIN-0004425,Pago hospital,2024-04-23,5491.38,MXN,1.0,5491.38,Scotiabank,,289650839625361719,Aplicado,AUTH03,2026-04-30 16:27:46
PAG-0000152,SIN-0006621,Pago directo asegurado,2021-07-08,31184.98,MXN,1.0,31184.98,Santander,,210694521008076971,Aplicado,AUTH12,2026-04-30 16:27:46
PAG-0000153,SIN-0012753,Pago beneficiario,2020-05-04,30536.29,MXN,1.0,30536.29,BBVA,CHK-585401,627627674497650669,Aplicado,AUTH18,2026-04-30 16:27:46
