id_poliza,num_poliza,nombre,apellido_paterno,apellido_materno,rfc,fecha_nacimiento,edad,sexo,estado_civil,ocupacion,ramo,plan,fecha_emision,fecha_inicio_vigencia,fecha_fin_vigencia,num_renovaciones,status_poliza,motivo_baja,canal_venta,marca_vehiculo,modelo_vehiculo,tipo_vehiculo,suma_asegurada,deducible,prima_neta,prima_total,forma_pago,agente_id,estado,municipio,codigo_postal,g_edad,siniest_flag
POL-000032,Vid-23-000032,Norma,Salazar,Gonzalez,SANG890507XG1,07/05/1989,36,Masculino,Viudo,,Vida,Permanente,2023-12-10,2023-12-10,2024-12-10,0,Vigente,,Directo,,,,500000,,42480.0,11181.24,Trimestral,AG040,Guanajuato,Irapuato,96427.0,31-45,1
POL-000033,Vid-20-000033,Luis,Salazar,Silva,SALS730613JI8,13/06/1973,52,Masculino,Union libre,Administrativo,Vida,20 anios,2020-09-02,2020-09-02,2021-09-02,1,Vigente,,Banca Seguros,,,,2000000,,48240.0,60435.07,Mensual,AG073,Veracruz,Xalapa,65645.0,46-60,1
POL-000034,Acc-22-000034,Oscar,Morales,Garcia,MOOG850901YF9,01/09/1985,40,Femenino,Viudo,Tecnico,Accidentes Personales,Familiar,2022-04-07,2022-04-07,2023-04-07,2,Vigente,,Banca Seguros,,,,300000,2000.0,3600.0,4384.8,Trimestral,AG040,Jalisco,Tonala,77797.0,31-45,0
POL-000035,Acc-24-000035,Manuel,Sanchez,Ramirez,SAMR850302UY2,02/03/1985,41,M,Soltero,Analista,Accidentes Personales,Individual,2024-03-25,2024-03-25,2025-03-25,0,Vencida,,Broker,,,,300000,1000.0,3600.0,4176.0,Anual,AG040,Coahuila,Saltillo,65058.0,31-45,0
POL-000036,GMM-21-000036,Pablo,Reyes,Ramos,REPR690121XG3,21/01/1969,57,F,Casado,Ingeniero,GMM,Basico,2021-10-10,2021-10-10,2022-10-10,0,Vigente,,Agente,,,,300000,5000.0,8283.0,9896.53,Semestral,AG005,Sonora,Ciudad Obregon,53702.0,46-60,0
POL-000037,Acc-23-000037,Arturo,Nunez,Reyes,NUAR031210MZ1,10/12/2003,22,Femenino,Divorciado,Comerciante,Accidentes Personales,Familiar,2023-09-27,2023-09-27,2024-09-27,1,Vigente,,Agente,,,,300000,2000.0,3600.0,4176.0,Anual,AG058,Yucatan,Merida,48766.0,18-30,0
POL-000038,Acc-24-000038,Alicia,Martinez,Torres,MAAT670412ES8,12/04/1967,59,M,Soltero,Maestro,Accidentes Personales,Familiar,2024-02-09,2024-02-09,2025-02-09,3,Vigente,,Agente,,,,300000,1000.0,3600.0,4301.28,Semestral,AG013,Estado de Mexico,Toluca,25670.0,46-60,0
POL-000039,GMM-20-000039,Patricia,Vargas,Ramos,VAPR860703LT8,03/07/1986,39,M,Divorciado,Administrativo,GMM,Basico,2020-12-28,2020-12-28,2021-12-28,1,Vigente,,Agente,,,,800000,15000.0,17600.0,21028.48,Semestral,AG079,Estado de Mexico,Naucalpan,33416.0,31-45,0
POL-000040,GMM-24-000040,Jose,Ramos,Martinez,RAJM870311ZU2,11/03/1987,39,F,Union libre,Ama de casa,GMM,Premium,2024-08-21,2024-08-21,2025-08-21,4,Vigente,,Digital,,,,2000000,10000.0,44000.0,55123.2,Mensual,AG056,Chihuahua,Chihuahua,47466.0,31-45,1
POL-000041,GMM-24-000041,Mario,Hernandez,Romero,HEMR731204TE7,04/12/1973,52,M,Casado,,GMM,Elite,2024-05-31,2024-05-31,2025-05-31,0,Vigente,,Broker,,,,3000000,20000.0,77880.0,93051.02,Semestral,AG046,Tamaulipas,Reynosa,37167.0,46-60,1
POL-000042,GMM-19-000042,Alejandro,Rodriguez,Reyes,ROAR610203GG3,03/02/1961,65,M,Soltero,Abogado,GMM,Plus,2019-02-25,2019-02-25,2020-02-25,2,Vigente,,Broker,,,,2000000,8000.0,60500.0,70180.0,Anual,AG078,Puebla,Tehuacan,31846.0,61+,1
POL-000043,Acc-23-000043,Francisco,Ramos,Vargas,RAFV920610KA6,10/06/1992,33,Femenino,Casado,Director,Accidentes Personales,Individual,2023-11-23,2023-11-23,2024-11-23,1,Vigente,,Agente,,,,300000,2000.0,3600.0,4301.28,Semestral,AG076,Puebla,Atlixco,47896.0,31-45,0
POL-000044,GMM-22-000044,Ana,Morales,Flores,MOAF790726VG8,26/07/1979,46,F,Soltero,Empresario,GMM,Elite,2022-07-01,2022-07-01,2023-07-01,3,Vigente,,Broker,,,,200000,8000.0,4796.0,6008.43,Mensual,AG070,Chihuahua,Parral,84319.0,46-60,0
POL-000045,Aut-22-000045,Arturo,Dominguez,Ramirez,DOAR941031XE8,31/10/1994,31,Femenino,Viudo,Analista,Autos,Amplia Plus,2022-09-20,2022-09-20,2023-09-20,2,Vigente,,Banca Seguros,Mazda,2017.0,Lujo,300000,3000.0,10500.0,12789.0,Trimestral,AG047,Veracruz,Poza Rica,14431.0,31-45,0
POL-000046,Vid-21-000046,Diana,Mendoza,Garcia,MEDG941009DU4,09/10/1994,31,Masculino,Soltero,Independiente,Vida,10 anios,2021-03-27,2021-03-27,2022-03-27,4,Vigente,,Promotor,,,,5000000,,42480.0,104400.0,Anual,AG041,Yucatan,Progreso,37036.0,31-45,1
POL-000047,GMM-20-000047,Raul,Molina,Gutierrez,MORG640206LR3,06/02/1964,62,M,Soltero,Jubilado,GMM,Premium,2020-12-26,2020-12-26,2021-12-26,3,Vigente,,Agente,,,,500000,10000.0,14630.0,18328.46,Mensual,AG063,Jalisco,Tlaquepaque,95249.0,61+,0
POL-000048,Aut-19-000048,Silvia,Mendoza,Cruz,MESC710923PD0,23/09/1971,54,F,Soltero,Ingeniero,Autos,RC+LT,2019-11-07,2019-11-07,2020-11-07,1,Vigente,,Agente,Mazda,2019.0,Hatchback,150000,5000.0,5250.0,6394.5,Trimestral,AG079,Puebla,Izucar,69441.0,46-60,0
POL-000049,Vid-20-000049,Raul,Vargas,Mendoza,VARM790921ZE6,21/09/1979,46,M,Casado,Tecnico,Vida,Permanente,2020-09-11,2020-09-11,2021-09-11,0,Vigente,,Broker,,,,2000000,,43920.0,50947.2,Anual,AG052,Chihuahua,Cuauhtemoc,17333.0,46-60,1
POL-000050,Vid-19-000050,Jose,Ruiz,Reyes,RUJR620831RA8,31/08/1962,63,Femenino,Viudo,Consultor,Vida,10 anios,2019-04-22,2019-04-22,2020-04-22,1,Vigente,,Banca Seguros,,,,1000000,,28080.0,32572.8,Anual,AG068,Michoacan,Apatzingan,69792.0,61+,1
POL-000051,Acc-21-000051,Enrique,Torres,Perez,TOEP971102EC5,02/11/1997,28,F,Union libre,Ingeniero,Accidentes Personales,Individual,2021-10-11,2021-10-11,2022-10-11,0,Vigente,,Agente,,,,300000,3000.0,3600.0,4384.8,Trimestral,AG022,Veracruz,Coatzacoalcos,29496.0,18-30,0
POL-000052,GMM-19-000052,Leticia,Medina,Mendoza,MELM701208UO7,08/12/1970,55,M,Divorciado,Ama de casa,GMM,Elite,2019-03-13,2019-03-13,2020-03-13,2,Vigente,,Agente,,,,2000000,8000.0,53900.0,62524.0,Anual,AG073,Puebla,Puebla,75114.0,46-60,1
POL-000053,Aut-23-000053,Alicia,Lopez,Sanchez,LOAS040420FF1,20/04/2004,22,M,Soltero,Arquitecto,Autos,RC+LT,2023-10-31,2023-10-31,2024-10-31,0,Vigente,,Banca Seguros,Mazda,2021.0,Pick-up,800000,8000.0,28000.0,32480.0,Anual,AG060,Tamaulipas,Matamoros,50857.0,18-30,0
POL-000054,GMM-19-000054,Juan,Torres,Perez,TOJP770722FM3,22/07/1977,48,M,Casado,Tecnico,GMM,Plus,2019-04-06,2019-04-06,2020-04-06,1,Vigente,,Banca Seguros,,,,300000,20000.0,7392.0,8574.72,Anual,AG068,Veracruz,Coatzacoalcos,29726.0,46-60,0
POL-000055,Vid-24-000055,Antonio,Gutierrez,Reyes,GUAR020709CG6,09/07/2002,23,Masculino,Soltero,Medico,Vida,20 anios,2024-06-22,2024-06-22,2025-06-22,0,Vigente,,Directo,,,,500000,,9000.0,10962.0,Trimestral,AG062,Queretaro,San Juan del Rio,27078.0,18-30,0
POL-000056,Acc-21-000056,Eduardo,Torres,Martinez,TOEM710404ND2,04/04/1971,55,F,Soltero,Ejecutivo,Accidentes Personales,Familiar,2021-12-23,2021-12-23,2022-12-23,3,Vigente,,Agente,,,,300000,2000.0,3600.0,4176.0,Anual,AG009,CDMX,Tlalpan,61388.0,46-60,0
POL-000057,Acc-21-000057,Ana,Rodriguez,Rivera,ROAR930731QR5,31/07/1993,32,M,Casado,Gerente,Accidentes Personales,Familiar,2021-09-16,2021-09-16,2022-09-16,2,Cancelada,Cambio de producto,Agente,,,,200000,1000.0,2400.0,2784.0,Anual,AG019,Nuevo Leon,San Nicolas,32117.0,31-45,0
POL-000058,Acc-19-000058,Maria,Molina,Perez,MOMP980626QY0,26/06/1998,27,Masculino,Union libre,Contador,Accidentes Personales,Familiar,2019-01-22,2019-01-22,2020-01-22,0,Cancelada,Siniestro total,Directo,,,,300000,1000.0,3600.0,4510.08,Mensual,AG061,Yucatan,Progreso,79084.0,18-30,0
POL-000059,GMM-22-000059,Silvia,Vega,Gutierrez,VESG840407DK4,07/04/1984,42,M,Soltero,Gerente,GMM,Premium,2022-05-12,2022-05-12,2023-05-12,0,Vigente,,Agente,,,,300000,20000.0,6798.0,8279.96,Trimestral,AG011,CDMX,Coyoacan,,31-45,0
POL-000060,Aut-20-000060,Claudia,Reyes,Ramirez,RECR770114FV6,14/01/1977,49,Femenino,Union libre,,Autos,RC+LT,2020-04-20,2020-04-20,2021-04-20,2,Vigente,,Banca Seguros,Ford,2023.0,SUV,300000,5000.0,10500.0,12180.0,Anual,AG014,Estado de Mexico,Tlalnepantla,18141.0,46-60,0
POL-000061,Aut-20-000061,Luis,Rivera,Garcia,RILG600913SK8,13/09/1960,65,M,Viudo,Maestro,Autos,Amplia Plus,2020-09-26,2020-09-26,2021-09-26,1,Vigente,,Agente,Toyota,2015.0,Sedan,600000,5000.0,21000.0,24360.0,Anual,AG017,Coahuila,Torreon,48394.0,61+,0
POL-000062,Acc-19-000062,Victor,Aguilar,Sanchez,AGVS780202GY5,02/02/1978,48,M,Soltero,Medico,Accidentes Personales,Familiar,2019-08-05,2019-08-05,2020-08-05,0,Vigente,,Broker,,,,200000,1000.0,2400.0,3006.72,Mensual,AG014,Tamaulipas,Nuevo Laredo,72840.0,46-60,0
POL-000063,Aut-21-000063,Sofia,Diaz,Reyes,DISR860818GJ2,18/08/1986,39,M,Casado,Ama de casa,Autos,RC+LT,2021-11-30,2021-11-30,2022-11-30,2,Vigente,,Promotor,Mazda,2016.0,Pick-up,150000,5000.0,5250.0,6090.0,Anual,AG054,Chihuahua,Chihuahua,16512.0,31-45,0
POL-000064,GMM-22-000064,Diana,Flores,Lopez,FLDL960313SD0,13/03/1996,30,M,Soltero,Gerente,GMM,Plus,2022-03-12,2022-03-12,2023-03-12,1,Vencida,,Agente,,,,1000000,5000.0,22000.0,25520.0,Anual,AG059,Guanajuato,Guanajuato,30779.0,18-30,0
POL-000065,Vid-21-000065,Luz,Mendoza,Vargas,MELV860110EW9,10/01/1986,40,M,Divorciado,Ingeniero,Vida,Permanente,2021-02-28,2021-02-28,2022-02-28,2,Cancelada,Cambio de producto,Digital,,,,500000,,9900.0,11484.0,Anual,AG062,Veracruz,Orizaba,28902.0,31-45,0
POL-000066,Vid-24-000066,Mario,Rodriguez,Vega,ROMV670801OW7,01/08/1967,58,Femenino,Soltero,Ama de casa,Vida,10 anios,2024-04-18,2024-04-18,2025-04-18,0,Vigente,,Digital,,,,1000000,,26280.0,30484.8,Anual,AG031,CDMX,Coyoacan,20550.0,46-60,0
POL-000067,Aut-23-000067,Sergio,Jimenez,Martinez,JISM931224KU8,24/12/1993,32,M,Soltero,Jubilado,Autos,Amplia,2023-08-03,2023-08-03,2024-08-03,2,Vigente,,Broker,Nissan,2020.0,Sedan,400000,8000.0,14000.0,17539.2,Mensual,AG068,Guanajuato,Salamanca,41916.0,31-45,0
POL-000068,GMM-22-000068,Martha,Vega,Gutierrez,VEMG750514DF0,14/05/1975,50,Masculino,Soltero,Tecnico,GMM,Plus,2022-10-20,2022-10-20,2023-10-20,0,Vigente,,Broker,,,,800000,10000.0,20240.0,23478.4,Anual,AG033,Jalisco,Tlaquepaque,17537.0,46-60,0
POL-000069,GMM-21-000069,Claudia,Castillo,Morales,CACM610516OB2,16/05/1961,64,M,Union libre,Empresario,GMM,Plus,2021-04-19,2021-04-19,2022-04-19,0,Vigente,,Agente,,,,3000000,20000.0,89760.0,109327.68,Trimestral,AG042,Yucatan,Tizimin,41801.0,61+,1
POL-000070,GMM-22-000070,Alicia,Reyes,Ramirez,REAR990812NB0,12/08/1999,26,F,Union libre,Comerciante,GMM,Premium,2022-04-11,2022-04-11,2023-04-11,4,Vigente,,Broker,,,,800000,15000.0,17600.0,22049.28,Mensual,AG033,Tamaulipas,Victoria,21388.0,18-30,0
POL-000071,Acc-21-000071,Laura,Ortiz,Ramirez,ORLR030615TV3,15/06/2003,22,Femenino,Viudo,Jubilado,Accidentes Personales,Familiar,2021-12-19,2021-12-19,2022-12-19,1,Vigente,,Agente,,,,200000,2000.0,2400.0,3006.72,Mensual,AG045,Tamaulipas,Tampico,95014.0,18-30,0
POL-000072,GMM-23-000072,Silvia,Medina,Rivera,MESR630918DA8,18/09/1963,62,M,Union libre,Ejecutivo,GMM,Plus,2023-03-30,2023-03-30,2024-03-30,1,Vigente,,Agente,,,,500000,5000.0,14630.0,18328.46,Mensual,AG040,Yucatan,Valladolid,44905.0,61+,0
POL-000073,Acc-22-000073,Carlos,Lopez,Ramos,LOCR860303SC3,03/03/1986,40,M,Casado,Tecnico,Accidentes Personales,Familiar,2022-09-14,2022-09-14,2023-09-14,0,Vigente,,Agente,,,,500000,3000.0,6000.0,7308.0,Trimestral,AG037,Veracruz,Orizaba,92737.0,31-45,0
POL-000074,Aut-24-000074,Pedro,Morales,Silva,MOPS641013NV7,13/10/1964,61,Femenino,Union libre,Estudiante,Autos,Amplia Plus,2024-07-25,2024-07-25,2025-07-25,2,Vigente,,Broker,Ford,2021.0,SUV,200000,5000.0,7000.0,8769.6,Mensual,AG049,Tamaulipas,Tampico,66824.0,61+,0
POL-000075,Vid-23-000075,Eduardo,Garcia,Vega,GAEV680214GN4,14/02/1968,58,Masculino,Viudo,Gerente,Vida,Permanente,2023-03-04,2023-03-04,2024-03-04,2,Vigente,,Broker,,,,500000,,13140.0,16004.52,Trimestral,AG023,Tamaulipas,Reynosa,75771.0,46-60,0
POL-000076,Aut-23-000076,Arturo,Silva,Martinez,SIAM780203IW9,03/02/1978,48,M,Divorciado,Ejecutivo,Autos,RC+LT,2023-12-30,2023-12-30,2024-12-30,1,Vigente,,Banca Seguros,Mazda,2023.0,Compacto,400000,8000.0,14000.0,16727.2,Semestral,AG018,Estado de Mexico,Ecatepec,66025.0,46-60,0
POL-000077,GMM-24-000077,Beatriz,Ramos,Perez,RABP881002MV3,02/10/1988,37,Femenino,Divorciado,Estudiante,GMM,Premium,2024-11-19,2024-11-19,2025-11-19,2,Vigente,,Promotor,,,,1000000,5000.0,22000.0,26285.6,Semestral,AG027,Estado de Mexico,Tlalnepantla,91946.0,31-45,0
POL-000078,Acc-19-000078,Rocio,Ruiz,Ramos,RURR770807LD1,07/08/1977,48,M,Union libre,Empresario,Accidentes Personales,Familiar,2019-05-05,2019-05-05,2020-05-05,2,Vigente,,Agente,,,,500000,2000.0,6000.0,7308.0,Trimestral,AG007,CDMX,Tlalpan,17087.0,46-60,0
POL-000079,GMM-21-000079,Gabriela,Navarro,Vega,NAGV600915AR6,15/09/1960,65,F,Soltero,Empleado,GMM,Premium,2021-12-26,2021-12-26,2022-12-26,4,Vigente,,Agente,,,,200000,5000.0,6050.0,7018.0,Anual,AG056,Jalisco,Puerto Vallarta,29780.0,61+,0
POL-000080,Vid-19-000080,Fernanda,Aguilar,Garcia,AGFG941214IL0,14/12/1994,31,M,Divorciado,Gerente,Vida,10 anios,2019-05-27,2019-05-27,2020-05-27,1,Vigente,,Agente,,,,3000000,,54000.0,65772.0,Trimestral,AG020,Estado de Mexico,Tlalnepantla,71231.0,31-45,1
POL-000081,GMM-19-000081,Pablo,Rios,Torres,RIPT800816FT4,16/08/1980,45,M,Divorciado,Contador,GMM,Plus,2019-11-21,2019-11-21,2020-11-21,0,Vigente,,Agente,,,,800000,8000.0,18920.0,21947.2,Anual,AG021,Tamaulipas,Reynosa,35107.0,31-45,0
POL-000082,Vid-23-000082,Oscar,Gutierrez,Mendoza,GUOM911104XY7,04/11/1991,34,M,Union libre,Medico,Vida,Permanente,2023-01-31,2023-01-31,2024-01-31,1,Vigente,,Broker,,,,1000000,,18000.0,21924.0,Trimestral,AG072,Sonora,Guaymas,85019.0,31-45,0
POL-000083,GMM-24-000083,Elena,Dominguez,Vargas,DOEV600216CK2,16/02/1960,66,F,Union libre,,GMM,Premium,2024-04-07,2024-04-07,2025-04-07,1,Vigente,,Agente,,,,200000,20000.0,6116.0,7094.56,Anual,AG049,Chihuahua,Delicias,34714.0,61+,0
