id_beneficiario,id_poliza,orden,nombre,apellido_paterno,apellido_materno,parentesco,fecha_nacimiento,porcentaje,rfc,telefono,email,activo,fecha_registro,id_sistema_ben
BEN-0000020,POL-032067,1,Sofia,Rodriguez,Silva,Conyuge,1972-04-02,25,GVEL960710,5595642818,antonio.hernandez@gmail.com,False,2021-05-07,BEN-SYS-3475203
BEN-0000021,POL-012694,1,Valeria,Martinez,Ramirez,Conyuge,1950-11-15,50,CHUV671022,5575333504,diego.chavez@gmail.com,True,2023-07-08,BEN-SYS-1389949
BEN-0000022,POL-043882,1,Hector,Gutierrez,Flores,Conyuge,1983-12-23,25,MEIV690583,5551066381,,True,2019-03-17,BEN-SYS-7400238
BEN-0000023,POL-045251,1,Sofia,Nunez,Sanchez,Hijo,1966-05-31,50,EFWS862912,5521329727,luz.chavez@hotmail.com,False,2024-03-31,BEN-SYS-7562305
BEN-0000024,POL-035720,1,Francisco,Rios,Gonzalez,Hija,2005-08-06,25,WWYG867408,5526584107,juan.ramos@hotmail.com,True,2019-04-19,BEN-SYS-9991328
BEN-0000025,POL-015657,2,Leticia,Jimenez,Hernandez,Otro,1980-10-15,25,CYHX686650,5593225305,beatriz.torres@gmail.com,False,2020-09-13,BEN-SYS-6759549
BEN-0000026,POL-036603,1,Antonio,Torres,Morales,Hija,1957-01-01,50,ZAVD723861,5579185481,diana.chavez@hotmail.com,False,2022-07-08,BEN-SYS-8419531
BEN-0000027,POL-013353,3,Alejandro,Jimenez,Hernandez,Padre,1999-01-08,50,RYGR744902,,,True,2022-10-23,BEN-SYS-8610127
BEN-0000028,POL-015643,1,Miguel,Martinez,Silva,Conyuge,1963-06-07,25,KSUM732042,5551329077,,True,2021-10-20,BEN-SYS-1751548
BEN-0000029,POL-027259,1,Martha,Sanchez,Gonzalez,Conyuge,1952-02-10,25,UCBS685425,5560530906,,False,2019-11-20,BEN-SYS-6307188
BEN-0000030,POL-043773,1,Maria,Medina,Gutierrez,Hijo,2006-12-22,25,ZNYU898885,5549193758,,True,2019-03-09,BEN-SYS-3355252
BEN-0000031,POL-002677,2,Enrique,Ruiz,Ramirez,Conyuge,1986-08-22,25,KMMI949644,5525192042,norma.mendoza@hotmail.com,True,2021-11-28,BEN-SYS-5224885
BEN-0000032,POL-000480,2,Leticia,Soto,Garcia,Hija,1955-12-31,33,QVLU826417,5517407251,jose.garcia@gmail.com,True,2024-09-22,BEN-SYS-3727996
BEN-0000033,POL-034903,1,Ricardo,Castillo,Ramirez,Conyuge,1985-04-24,100,WQQU601692,5591906991,,False,2019-02-12,BEN-SYS-5621081
BEN-0000034,POL-017968,1,Adriana,Medina,Rivera,Hija,1968-09-10,100,LADW610251,5564068121,sofia.vega@hotmail.com,False,2023-02-05,BEN-SYS-5319322
BEN-0000035,POL-019365,1,Andres,Moreno,Martinez,Conyuge,2008-09-10,33,UNCT635523,5515602848,norma.navarro@gmail.com,True,2019-08-22,BEN-SYS-1689471
BEN-0000036,POL-034816,1,Diana,Ramirez,Reyes,Hija,1987-04-18,25,PYIP779537,5595097120,sergio.ruiz@gmail.com,True,2021-01-16,BEN-SYS-8069349
BEN-0000037,POL-012645,1,Maria,Flores,Vargas,Hermano,1958-11-23,50,MLFA632170,,leticia.torres@hotmail.com,True,2024-11-10,BEN-SYS-2768156
BEN-0000038,POL-035380,2,Lorena,Mendoza,Gonzalez,Hija,1977-03-15,50,XZHG865042,5545638942,pedro.soto@hotmail.com,True,2020-05-28,BEN-SYS-7229599
BEN-0000039,POL-014937,1,Rosa,Vargas,Diaz,Hijo,1968-10-23,25,CIYO860988,5529784784,ana.chavez@gmail.com,False,2024-02-12,BEN-SYS-7758702
BEN-0000040,POL-040827,1,Alejandro,Ortiz,Cruz,Madre,1959-01-27,50,HSQL675837,5525891304,juan.rios@hotmail.com,False,2022-10-29,BEN-SYS-8909084
BEN-0000041,POL-032203,1,Alejandro,Vega,Vega,Hija,1999-02-08,50,SVIQ944784,5527400975,,True,2022-01-05,BEN-SYS-9775001
BEN-0000042,POL-008855,1,Alejandro,Vargas,Garcia,Hijo,1992-08-25,50,YPXT706257,5575997252,beatriz.reyes@hotmail.com,False,2019-12-05,BEN-SYS-6426674
BEN-0000043,POL-013169,1,Sergio,Reyes,Flores,Hijo,1998-09-15,50,JASB852228,,laura.martinez@hotmail.com,True,2022-10-12,BEN-SYS-5494220
BEN-0000044,POL-018277,2,Pedro,Gutierrez,Morales,Hijo,1986-09-15,50,XMVE805072,5521961055,diego.diaz@hotmail.com,False,2022-11-25,BEN-SYS-8494313
BEN-0000045,POL-013923,2,Raul,Vargas,Gutierrez,Madre,2001-03-09,50,KPQW822798,5517406389,,True,2022-12-05,BEN-SYS-2722103
BEN-0000046,POL-006996,2,Lorena,Ramos,Rivera,Hijo,1976-09-18,100,RRLO887082,5572662133,antonio.nunez@gmail.com,True,2021-07-02,BEN-SYS-5499212
BEN-0000047,POL-043360,3,Sofia,Nunez,Mendoza,Hija,2007-03-16,50,GGCQ724944,5581586423,valeria.diaz@gmail.com,True,2022-05-07,BEN-SYS-5864447
BEN-0000048,POL-022084,2,Diego,Morales,Torres,Hija,1991-10-27,50,TXOC905110,5519193471,leticia.ruiz@hotmail.com,True,2021-12-02,BEN-SYS-3852196
BEN-0000049,POL-047175,2,Miguel,Perez,Flores,Hijo,1985-05-16,50,VYWY688407,5563711103,,True,2019-06-01,BEN-SYS-5357774
BEN-0000050,POL-021924,1,Oscar,Silva,Diaz,Hija,1957-03-21,100,RBCP886006,5521810258,,False,2021-06-02,BEN-SYS-8953116
BEN-0000051,POL-031400,2,Alejandro,Martinez,Lopez,Hijo,2007-01-30,50,ENEU970576,5518628532,,True,2023-03-02,BEN-SYS-5371609
BEN-0000052,POL-002039,2,Elena,Reyes,Hernandez,Conyuge,1988-09-06,50,LSQC852146,,miguel.navarro@gmail.com,True,2020-10-29,BEN-SYS-3904440
BEN-0000053,POL-015819,1,Sergio,Rodriguez,Ramirez,Padre,1955-12-08,100,XASV722540,5590548619,arturo.soto@gmail.com,False,2019-06-24,BEN-SYS-9859377
BEN-0000054,POL-026475,3,Jose,Rodriguez,Romero,Madre,1952-07-20,33,UQYC968953,5584300590,sofia.gomez@hotmail.com,True,2023-02-27,BEN-SYS-2777429
BEN-0000055,POL-003603,1,Eduardo,Nunez,Castillo,Padre,1961-02-13,25,MEXM663836,5571306438,,True,2024-04-04,BEN-SYS-1750606
BEN-0000056,POL-041893,2,Eduardo,Navarro,Morales,Hijo,1962-10-19,100,KXAH970779,5582594636,andres.romero@hotmail.com,True,2022-05-15,BEN-SYS-5212870
BEN-0000057,POL-011225,1,Pablo,Sanchez,Silva,Hermana,1952-12-18,33,JUHF873054,5598780574,pedro.morales@hotmail.com,True,2023-12-18,BEN-SYS-5660110
BEN-0000058,POL-028831,1,Diego,Salazar,Vargas,Hijo,1993-11-30,50,OYXP654983,,,True,2021-11-11,BEN-SYS-1099746
BEN-0000059,POL-044691,1,Fernando,Nunez,Lopez,Conyuge,2001-02-25,50,LUFP648092,,,False,2024-06-08,BEN-SYS-4932440
BEN-0000060,POL-035675,2,Esperanza,Silva,Rivera,Hija,1973-03-16,50,HUNX872518,5559824016,,True,2022-02-17,BEN-SYS-3282239
BEN-0000061,POL-049386,1,Fernando,Soto,Reyes,Conyuge,2001-12-09,50,EZMA953438,5598619647,,False,2024-08-04,BEN-SYS-5620390
BEN-0000062,POL-019744,2,Leticia,Medina,Gonzalez,Hija,1952-05-08,25,TDON610110,5574915494,carmen.ruiz@hotmail.com,True,2023-10-26,BEN-SYS-1479582
BEN-0000063,POL-013149,1,Irene,Jimenez,Cruz,Hijo,1980-09-06,100,IGOO790873,5590202862,ana.gomez@hotmail.com,True,2022-03-08,BEN-SYS-5850588
BEN-0000064,POL-048607,1,Rosa,Rios,Rivera,Conyuge,1973-03-11,50,DPCK853437,5585990437,rocio.martinez@gmail.com,False,2021-05-30,BEN-SYS-5379067
BEN-0000065,POL-004116,1,Raul,Martinez,Hernandez,Hija,1958-06-01,25,ABFQ609518,,fernando.gomez@gmail.com,False,2019-12-09,BEN-SYS-5115537
BEN-0000066,POL-018548,1,Miguel,Rios,Gutierrez,Hijo,1989-06-07,100,RVXM623505,5578864192,,True,2019-01-09,BEN-SYS-2666154
BEN-0000067,POL-024903,1,Eduardo,Rivera,Reyes,Hijo,1968-10-17,33,JUDZ623618,5511466082,juan.ramos@hotmail.com,True,2021-05-22,BEN-SYS-2444444
BEN-0000068,POL-002609,1,Diana,Morales,Gutierrez,Madre,1992-12-01,25,WWXM616472,,manuel.rivera@gmail.com,False,2024-12-14,BEN-SYS-3989929
BEN-0000069,POL-036793,1,Jose,Romero,Romero,Conyuge,1954-06-08,33,FPLL694582,5572573551,lorena.reyes@gmail.com,False,2019-09-04,BEN-SYS-7214096
BEN-0000070,POL-025343,3,Alejandro,Rios,Gutierrez,Hija,1977-10-29,50,GUSQ673869,5512449166,sergio.aguilar@gmail.com,True,2023-09-09,BEN-SYS-7886865
BEN-0000071,POL-011778,1,Roberto,Mendoza,Garcia,Hijo,1990-06-18,50,LRRV967601,5510117905,,True,2019-12-22,BEN-SYS-2280639
BEN-0000072,POL-023039,1,Manuel,Diaz,Hernandez,Hija,1960-12-19,25,ECUL728311,5586840309,,False,2022-06-22,BEN-SYS-7499849
BEN-0000073,POL-019474,3,Valeria,Hernandez,Castillo,Hija,1972-11-09,25,VBPG627201,5583628202,valeria.romero@hotmail.com,True,2023-08-23,BEN-SYS-2254335
BEN-0000074,POL-001315,1,Roberto,Perez,Castillo,Conyuge,1954-07-16,33,QQCI712023,5554564026,fernando.soto@hotmail.com,True,2021-05-29,BEN-SYS-4243846
BEN-0000075,POL-017693,1,Leticia,Silva,Gutierrez,Conyuge,1968-03-21,50,AGFH898331,,irene.gutierrez@hotmail.com,True,2024-10-04,BEN-SYS-7808363
BEN-0000076,POL-000233,3,Diana,Morales,Gonzalez,Conyuge,1989-05-11,33,NYNV773273,,,True,2019-10-29,BEN-SYS-9753908
BEN-0000077,POL-030489,1,Gabriela,Soto,Sanchez,Padre,1955-02-28,100,YGXP645011,5523635956,,True,2019-05-08,BEN-SYS-4206737
BEN-0000078,POL-005772,2,Esperanza,Ramirez,Ramos,Padre,2005-07-03,50,OESA686612,5564597650,,True,2022-01-05,BEN-SYS-7962865
BEN-0000079,POL-023320,1,Elena,Dominguez,Ramirez,Hija,2002-07-04,33,DJFF680175,5541633936,daniel.gomez@gmail.com,True,2021-03-13,BEN-SYS-2915829
BEN-0000080,POL-000050,2,Eduardo,Cruz,Morales,Hijo,2003-08-19,50,NKOL855363,5510457988,,True,2022-01-19,BEN-SYS-8039569
BEN-0000081,POL-032749,2,Oscar,Gomez,Vargas,Hijo,2000-05-12,25,RDUN731850,5567725249,carlos.ortiz@gmail.com,True,2021-09-23,BEN-SYS-6271263
BEN-0000082,POL-015923,3,Ricardo,Cruz,Torres,Hija,1974-11-15,100,CKOQ867094,5561889940,,True,2020-06-19,BEN-SYS-7837213
BEN-0000083,POL-021968,2,Antonio,Salazar,Morales,Hijo,1959-06-06,50,RAWV697285,5524312501,eduardo.romero@hotmail.com,True,2019-11-20,BEN-SYS-7514153
BEN-0000084,POL-023254,1,Eduardo,Romero,Diaz,Hijo,1981-10-01,33,FBVC951952,5511249855,,True,2024-05-30,BEN-SYS-8470872
BEN-0000085,POL-005298,1,Pedro,Medina,Flores,Hija,1961-04-06,33,MCFF762831,5555538801,,True,2020-08-05,BEN-SYS-4536927
BEN-0000086,POL-035754,2,Lorena,Jimenez,Diaz,Hija,1954-04-20,25,KAWI691222,,adriana.garcia@hotmail.com,False,2020-07-17,BEN-SYS-3387036
BEN-0000087,POL-000576,2,Ana,Ortiz,Rivera,Conyuge,1965-04-15,25,XJKV914375,5520841625,elena.chavez@hotmail.com,True,2024-08-19,BEN-SYS-1870312
BEN-0000088,POL-019332,1,Luz,Salazar,Hernandez,Hija,2006-02-22,100,VYTF727651,,leticia.gutierrez@hotmail.com,True,2019-12-23,BEN-SYS-1569607
BEN-0000089,POL-024401,3,Lorena,Martinez,Gonzalez,Hermano,1977-04-29,33,QETK950148,,alicia.cruz@hotmail.com,False,2020-04-14,BEN-SYS-1904919
BEN-0000090,POL-014129,1,Enrique,Sanchez,Romero,Hijo,1951-03-05,50,YPYY851959,,,True,2023-07-18,BEN-SYS-1431146
BEN-0000091,POL-019106,2,Daniel,Gomez,Ramirez,Conyuge,2009-06-09,33,DYJM870309,5529838073,,True,2019-12-26,BEN-SYS-6153659
BEN-0000092,POL-038210,2,Andres,Rivera,Martinez,Padre,1997-01-25,100,IEXZ811023,5563186437,,True,2022-10-16,BEN-SYS-1291015
BEN-0000093,POL-005595,1,Jorge,Perez,Gonzalez,Hija,1974-02-22,100,YPVL664548,,,False,2022-03-31,BEN-SYS-7666114
BEN-0000094,POL-036001,2,Claudia,Ramirez,Ramos,Hija,2009-08-16,50,JDDG988491,,silvia.vega@gmail.com,False,2019-01-12,BEN-SYS-1067255
BEN-0000095,POL-020658,3,Arturo,Jimenez,Torres,Madre,1979-04-20,100,ZPQO811717,5551400211,diana.gutierrez@gmail.com,True,2019-06-24,BEN-SYS-5806138
BEN-0000096,POL-014795,1,Alicia,Cruz,Rivera,Conyuge,1980-03-08,50,NYLI768814,,laura.medina@gmail.com,True,2024-08-25,BEN-SYS-5587305
BEN-0000097,POL-004275,1,Silvia,Mendoza,Reyes,Madre,1969-03-16,33,YZVS846304,,,True,2019-05-15,BEN-SYS-7019905
BEN-0000098,POL-035650,1,Monica,Silva,Vega,Hijo,2007-10-11,100,HBPE734011,5590239421,,True,2019-08-06,BEN-SYS-1569597
BEN-0000099,POL-001702,1,Miguel,Ramos,Perez,Hermano,1964-10-16,100,FSQJ687787,5546487555,enrique.sanchez@hotmail.com,False,2022-08-08,BEN-SYS-3202783
BEN-0000100,POL-049542,1,Gloria,Chavez,Martinez,Padre,2002-12-24,100,BHHQ821766,,lorena.rodriguez@hotmail.com,True,2019-01-23,BEN-SYS-1489344
BEN-0000101,POL-035372,1,Norma,Sanchez,Rivera,Hijo,1963-01-07,100,VBOB707610,5585879889,claudia.jimenez@hotmail.com,True,2021-05-15,BEN-SYS-2062388
BEN-0000102,POL-037481,1,Manuel,Ramirez,Vega,Hijo,1992-11-27,50,ZNKD850635,,fernanda.silva@hotmail.com,True,2021-07-03,BEN-SYS-1659976
BEN-0000103,POL-018540,2,Sergio,Ramos,Castillo,Madre,1988-02-03,100,ASVE852546,5580824122,maria.ramos@gmail.com,True,2022-05-26,BEN-SYS-8504950
BEN-0000104,POL-028101,1,Antonio,Rivera,Mendoza,Hermano,1976-08-09,33,WJZR986434,5595710135,francisco.flores@gmail.com,False,2020-09-22,BEN-SYS-1284859
BEN-0000105,POL-036077,1,Raul,Ortiz,Gutierrez,Conyuge,1958-07-08,50,AXDS964825,5592504504,,True,2020-08-14,BEN-SYS-4431298
BEN-0000106,POL-030270,2,Irene,Gutierrez,Diaz,Conyuge,1978-04-24,25,SLXJ806888,5581181456,,True,2023-04-08,BEN-SYS-6047234
BEN-0000107,POL-006751,2,Pedro,Castillo,Martinez,Padre,1999-11-21,50,AXKW815663,,gloria.moreno@hotmail.com,True,2024-10-29,BEN-SYS-2531612
BEN-0000108,POL-027111,1,Laura,Salazar,Martinez,Conyuge,1956-06-27,50,RUBZ607295,5563402032,luis.lopez@hotmail.com,True,2023-12-22,BEN-SYS-8622920
BEN-0000109,POL-041353,1,Maria,Moreno,Silva,Hijo,2002-08-29,50,XXUX953800,5530778532,victor.aguilar@gmail.com,True,2024-11-24,BEN-SYS-4056673
BEN-0000110,POL-012729,1,Gabriela,Nunez,Gonzalez,Conyuge,1963-12-18,25,JCSL706086,5541889152,carlos.diaz@gmail.com,True,2022-06-04,BEN-SYS-5826871
BEN-0000111,POL-028155,3,Raul,Rodriguez,Vega,Hijo,2004-11-27,50,HGXA772220,5570962317,maria.moreno@hotmail.com,False,2022-03-15,BEN-SYS-4300378
BEN-0000112,POL-043919,1,Gabriela,Ramirez,Romero,Conyuge,1969-08-23,33,WZSU671619,,leticia.gutierrez@hotmail.com,True,2024-08-09,BEN-SYS-5737317
BEN-0000113,POL-026236,1,Alicia,Salazar,Rivera,Hija,1987-12-26,100,YTSW869486,5530771616,,True,2024-03-17,BEN-SYS-6868709
BEN-0000114,POL-029182,1,Raul,Morales,Vargas,Hijo,1966-12-12,100,FNST983996,5570178319,rocio.dominguez@gmail.com,True,2019-09-21,BEN-SYS-8094330
BEN-0000115,POL-038420,3,Victor,Navarro,Martinez,Conyuge,1977-10-24,50,VKWV652605,5562414821,roberto.torres@hotmail.com,False,2022-07-31,BEN-SYS-1020696
BEN-0000116,POL-008260,1,Juan,Gutierrez,Vargas,Hijo,1955-12-11,50,NBIX644586,5548543109,elena.morales@hotmail.com,False,2020-11-28,BEN-SYS-5032756
BEN-0000117,POL-022638,1,Carmen,Chavez,Ramos,Conyuge,1972-10-13,25,JUAZ645764,5561949411,,True,2019-11-06,BEN-SYS-1737287
BEN-0000118,POL-015898,1,Gloria,Moreno,Vargas,Hijo,1999-10-07,100,ZFUC968132,5573700343,claudia.ruiz@gmail.com,True,2020-01-31,BEN-SYS-5644622
BEN-0000119,POL-044735,2,Arturo,Vega,Ramos,Hija,1992-09-03,33,QPJY729382,5581868838,manuel.vargas@gmail.com,True,2019-09-23,BEN-SYS-1238772
BEN-0000120,POL-032608,1,Leticia,Ramos,Ramirez,Hija,1985-12-26,25,DAWY767654,5595762371,,True,2022-02-06,BEN-SYS-9957953
BEN-0000121,POL-007027,2,Martha,Ramos,Garcia,Padre,1981-06-03,33,FQJV755126,,,False,2019-08-31,BEN-SYS-3672764
BEN-0000122,POL-021316,3,Lorena,Rodriguez,Ramirez,Conyuge,1985-12-23,100,DTLS766578,5555643010,esperanza.garcia@gmail.com,False,2021-01-09,BEN-SYS-7941566
BEN-0000123,POL-004500,2,Alicia,Moreno,Gonzalez,Otro,1981-12-04,100,KIEP777582,5527698491,mario.aguilar@hotmail.com,True,2020-03-03,BEN-SYS-3640583
BEN-0000124,POL-032820,1,Manuel,Gutierrez,Lopez,Hija,1975-09-21,100,YQDH622380,5517069283,,True,2023-08-18,BEN-SYS-1350236
BEN-0000125,POL-038402,1,Rosa,Gomez,Castillo,Madre,1974-04-16,50,OYJM783159,5538128904,,True,2022-10-25,BEN-SYS-9647443
BEN-0000126,POL-022869,2,Andres,Morales,Vargas,Conyuge,1980-08-26,100,KNOX818219,5541957976,fernanda.ramirez@hotmail.com,True,2021-10-07,BEN-SYS-4577504
BEN-0000127,POL-008040,2,Valeria,Morales,Reyes,Madre,1962-11-12,25,GSFN651091,5589941390,beatriz.garcia@hotmail.com,True,2024-08-03,BEN-SYS-6677161
BEN-0000128,POL-001446,1,Monica,Rivera,Morales,Conyuge,1988-09-13,50,IJPU606117,,,True,2024-05-20,BEN-SYS-4088300
BEN-0000129,POL-024421,1,Hector,Castillo,Mendoza,Conyuge,1951-03-21,25,BQQT684984,,claudia.hernandez@hotmail.com,False,2020-10-29,BEN-SYS-6757405
BEN-0000130,POL-030968,3,Beatriz,Castillo,Silva,Hija,1950-10-05,100,CIBV925742,5560340348,,True,2021-04-18,BEN-SYS-7247469
BEN-0000131,POL-016757,2,Ana,Ruiz,Mendoza,Madre,2002-11-19,100,RATV729910,5570653892,diego.rios@gmail.com,True,2020-05-30,BEN-SYS-9703685
BEN-0000132,POL-039270,3,Oscar,Flores,Morales,Hija,1961-02-25,25,FJYI973072,5574952211,maria.chavez@hotmail.com,True,2023-05-20,BEN-SYS-8990699
BEN-0000133,POL-033339,1,Mario,Medina,Reyes,Hijo,1998-10-28,50,KJFM671727,5582705032,,False,2020-10-19,BEN-SYS-7127821
BEN-0000134,POL-033691,1,Antonio,Medina,Diaz,Hijo,1992-09-17,25,JSRA667300,5572257106,francisco.navarro@hotmail.com,True,2019-10-25,BEN-SYS-9750683
BEN-0000135,POL-010582,1,Gloria,Medina,Vargas,Conyuge,1994-05-26,100,AIPY618342,,fernanda.castillo@hotmail.com,True,2020-10-09,BEN-SYS-3176286
BEN-0000136,POL-000073,1,Sandra,Salazar,Diaz,Conyuge,1980-05-24,25,USOY773133,5515607794,carmen.rodriguez@gmail.com,True,2022-11-26,BEN-SYS-3134144
BEN-0000137,POL-038850,1,Claudia,Rivera,Sanchez,Hijo,1950-12-08,25,RSPH801967,5557727295,juan.chavez@hotmail.com,True,2020-12-02,BEN-SYS-4544492
BEN-0000138,POL-040224,2,Raul,Ramos,Vega,Hija,1952-01-16,50,QQFC962373,5516286881,alejandro.moreno@hotmail.com,True,2021-10-15,BEN-SYS-7633957
BEN-0000139,POL-015127,1,Irene,Ramirez,Mendoza,Hija,1995-03-23,33,VGVA851976,,,True,2024-02-13,BEN-SYS-7334191
BEN-0000140,POL-003057,2,Daniel,Rodriguez,Martinez,Hija,2001-07-02,33,WOYG954853,5573258898,hector.sanchez@gmail.com,False,2023-02-14,BEN-SYS-2884841
BEN-0000141,POL-046271,1,Luz,Rodriguez,Mendoza,Hijo,1987-03-29,25,OQDS831505,5561180930,,True,2020-07-21,BEN-SYS-2730004
BEN-0000142,POL-034867,1,Eduardo,Ortiz,Vargas,Hija,1996-10-24,50,LCHS900730,5550172636,martha.rivera@hotmail.com,True,2020-11-22,BEN-SYS-6592321
BEN-0000143,POL-041276,2,Eduardo,Vega,Lopez,Hija,1954-08-18,33,UETZ897796,,valeria.ruiz@gmail.com,True,2022-10-30,BEN-SYS-9450203
BEN-0000144,POL-007334,2,Claudia,Ortiz,Sanchez,Hijo,1969-05-16,50,JMGF893419,,rocio.romero@hotmail.com,False,2022-06-18,BEN-SYS-9102166
BEN-0000145,POL-026081,1,Rosa,Perez,Ramos,Hijo,1981-09-09,25,MIQT765177,5562083497,victor.moreno@gmail.com,False,2023-09-29,BEN-SYS-5138676
BEN-0000146,POL-010053,1,Mario,Vega,Ramirez,Conyuge,1972-07-03,100,PHWL902929,5550942885,oscar.aguilar@gmail.com,True,2021-08-15,BEN-SYS-2812831
BEN-0000147,POL-015959,2,Pablo,Ortiz,Lopez,Hijo,1978-10-25,33,SCXU755321,5588527824,silvia.rodriguez@gmail.com,True,2020-09-28,BEN-SYS-1405869
BEN-0000148,POL-008223,1,Jorge,Sanchez,Ramos,Hijo,1988-12-08,25,GBCO750423,,,True,2021-11-05,BEN-SYS-8859522
BEN-0000149,POL-006814,1,Jorge,Romero,Sanchez,Conyuge,2008-06-03,33,QWZL803785,,,True,2022-07-30,BEN-SYS-7693026
BEN-0000150,POL-009328,1,Gabriela,Torres,Martinez,Hija,1996-12-17,50,QJHH603982,5511105469,ana.hernandez@hotmail.com,True,2019-04-08,BEN-SYS-4834379
BEN-0000151,POL-011638,2,Luz,Flores,Mendoza,Conyuge,2004-11-30,33,XSNP948850,5547821765,norma.lopez@gmail.com,False,2021-10-15,BEN-SYS-4830487
BEN-0000152,POL-001706,1,Sergio,Jimenez,Garcia,Hermana,1980-03-28,25,TUHG739538,5573246033,fernando.mendoza@hotmail.com,True,2020-04-15,BEN-SYS-2412726
BEN-0000153,POL-001322,2,Fernando,Ramirez,Cruz,Conyuge,1992-01-28,33,QGDZ633719,5533294385,adriana.moreno@hotmail.com,True,2019-02-12,BEN-SYS-1384763
BEN-0000154,POL-015293,2,Esperanza,Gutierrez,Diaz,Hija,1992-07-27,100,XVBE865580,5510874182,,True,2023-02-12,BEN-SYS-2238451
BEN-0000155,POL-037772,1,Raul,Ortiz,Cruz,Hijo,1993-03-14,100,IFNP907206,5590678784,roberto.moreno@gmail.com,True,2022-09-01,BEN-SYS-2024873
BEN-0000156,POL-000806,2,Pablo,Ramirez,Romero,Conyuge,1990-11-17,33,UXEQ982601,5558071339,roberto.garcia@gmail.com,True,2024-09-22,BEN-SYS-3147749
BEN-0000157,POL-032141,1,Fernanda,Chavez,Lopez,Hijo,2003-05-31,50,VQHD941014,5560511994,pedro.dominguez@hotmail.com,False,2024-12-21,BEN-SYS-7290499
BEN-0000158,POL-009380,1,Esperanza,Silva,Diaz,Madre,1978-03-19,33,RXYY904715,,andres.morales@hotmail.com,False,2023-03-24,BEN-SYS-3966762
BEN-0000159,POL-016679,1,Claudia,Molina,Lopez,Conyuge,1979-09-04,50,AFHU850754,5580101516,,True,2022-06-25,BEN-SYS-8280993
